age,black,hispanic,income,single,married,yrs_educ,urban,male
21,0,0,870.18585,1,0,9,1,0
18,0,0,755.93829,1,0,10,1,0
23,0,0,1113.9143,1,0,13,1,1
22,0,0,792.11676,0,1,12,1,1
19,0,0,809.25385,1,0,12,1,1
19,0,0,618.84125,1,0,13,1,0
21,0,0,799.73309,1,0,12,1,0
21,0,0,1142.4761,1,0,13,0,1
21,0,0,832.10327,1,0,12,1,0
20,0,0,1306.2308,1,0,12,1,1
21,0,0,1574.713,1,0,12,0,1
21,0,0,1569.0002,1,0,12,0,1
21,0,0,1045.3654,0,1,14,1,0
21,0,0,717.85577,1,0,12,1,0
21,0,0,1346.2178,0,1,14,0,1
23,0,0,990.146,0,1,16,1,0
21,0,0,999.66638,1,0,12,1,1
22,0,0,1199.5996,1,0,16,1,0
19,0,0,641.6908,1,0,12,1,0
22,0,0,771.17133,1,0,13,1,0
21,0,0,1132.9552,1,0,12,1,0
21,0,0,1132.9552,1,0,12,1,0
22,0,0,1298.6144,1,0,12,1,1
20,0,0,641.6908,0,1,12,1,0
23,0,0,1744.1799,1,0,12,1,1
18,0,0,571.23804,1,0,9,1,0
23,0,0,809.25385,1,0,13,1,1
21,0,0,666.44421,1,0,14,1,1
21,0,0,992.05011,1,0,12,1,0
18,0,0,980.62512,1,0,11,1,1
22,0,0,571.23804,1,0,12,1,0
20,0,0,635.97827,1,0,12,1,1
20,0,0,666.44421,1,0,12,1,0
21,0,0,952.06335,1,0,12,1,1
21,0,0,832.10327,1,0,12,1,0
21,0,0,1037.7493,1,0,12,1,0
19,0,0,632.16992,1,0,12,1,0
21,0,0,952.06335,0,1,12,1,0
19,0,0,1056.7904,1,0,11,1,1
19,0,0,952.06335,1,0,12,1,1
19,0,0,885.41882,1,0,12,1,1
22,0,0,1509.9724,1,0,16,1,1
19,0,1,771.17133,1,0,9,1,1
22,0,0,999.66638,1,0,12,1,0
18,0,0,571.23804,1,0,12,1,1
21,0,0,687.38965,1,0,12,1,0
21,0,0,1586.1376,1,0,12,1,1
21,0,0,1542.3427,0,1,12,1,1
18,0,0,1904.1267,1,0,12,1,0
21,0,0,761.6507,1,0,12,1,1
23,0,0,708.33508,1,0,16,1,0
19,0,0,1089.1606,1,0,12,1,1
20,0,0,616.93707,1,0,12,1,1
20,0,1,999.66638,1,0,12,1,1
20,0,0,1012.9951,0,1,12,1,0
18,0,0,594.08759,1,0,12,0,0
16,0,0,434.14084,1,0,10,1,1
22,0,0,714.04755,1,0,12,1,0
18,0,0,818.77435,1,0,12,1,1
21,0,0,1332.8884,1,0,12,0,1
19,0,0,609.32056,1,0,12,1,1
20,0,0,1216.7372,1,0,12,1,1
20,0,0,1332.8884,1,0,12,1,1
21,0,0,1087.2563,1,0,14,1,0
18,0,1,571.23804,1,0,9,1,1
20,0,0,832.10327,1,0,14,1,0
21,0,0,761.6507,1,0,13,1,1
20,0,0,809.25385,1,0,12,1,1
18,0,0,656.92371,1,0,12,1,0
20,0,0,1388.1084,1,0,12,1,1
23,0,0,942.54279,1,0,12,1,0
20,0,0,666.44421,1,0,14,1,0
18,0,0,618.84125,1,0,12,1,0
19,0,0,1098.6813,0,1,12,1,1
21,1,0,637.88226,1,0,12,1,1
19,1,0,959.67969,1,0,12,1,1
19,1,0,618.84125,1,0,12,1,0
20,0,0,1380.4917,1,0,12,1,1
21,1,0,1222.4491,1,0,10,1,1
22,0,0,847.33649,1,0,14,1,0
22,0,0,807.34979,1,0,12,1,0
23,0,0,666.44421,1,0,7,1,1
20,0,0,714.04755,1,0,12,1,0
19,0,0,1014.8996,1,0,12,1,1
22,0,0,1586.1376,1,0,14,1,0
19,0,0,952.06335,1,0,12,1,1
22,0,0,1428.0951,0,1,12,1,1
22,0,1,2195.4585,0,1,12,1,1
21,0,0,814.96606,1,0,14,1,0
21,0,0,700.71863,1,0,12,1,1
19,0,0,637.88226,1,0,12,1,1
18,0,0,809.25385,1,0,12,1,1
22,0,0,856.85706,0,1,12,1,0
18,0,0,782.59613,1,0,12,1,1
19,0,0,856.85706,1,0,12,1,0
18,0,0,666.44421,1,0,12,1,0
18,0,0,651.2113,1,0,12,1,0
20,0,0,445.5657,1,0,14,1,1
18,0,0,813.06219,1,0,12,1,0
19,0,0,704.52698,1,0,12,1,0
19,0,0,913.98083,1,0,12,1,1
19,0,0,618.84125,0,1,12,1,0
20,0,0,868.28168,1,0,12,1,1
20,0,0,1226.2573,1,0,13,1,1
20,0,0,1327.1761,0,1,12,1,1
22,0,0,771.17133,0,1,13,1,0
22,0,0,1370.9712,0,1,9,1,1
21,0,0,1410.958,1,0,11,1,1
20,0,0,858.76111,1,0,12,1,1
20,0,0,1317.6558,1,0,12,1,1
19,0,0,856.85706,1,0,13,1,1
20,0,0,1332.8884,1,0,14,1,1
19,0,0,952.06335,1,0,12,1,1
21,0,0,1332.8884,1,0,15,1,0
19,0,0,1923.1677,1,0,13,1,1
21,0,0,1047.2698,1,0,12,1,1
21,0,0,809.25385,1,0,12,1,0
22,0,0,971.10461,1,0,12,1,1
18,0,0,607.41638,1,0,12,1,0
22,0,1,832.10327,0,1,12,1,0
19,0,0,714.04755,1,0,10,1,0
17,0,0,723.56812,1,0,9,1,1
22,1,0,1209.1206,1,0,11,1,1
22,0,0,571.23804,0,1,12,1,0
22,0,0,965.39203,0,1,12,1,0
21,0,0,1136.7637,0,1,11,1,1
22,0,0,1081.5441,0,1,12,1,1
20,0,0,767.3631,0,1,12,1,0
18,0,0,666.44421,1,0,12,0,1
19,0,0,919.69299,1,0,12,1,1
18,1,0,641.6908,1,0,12,1,0
18,1,0,1022.5157,1,0,12,1,1
22,1,0,761.6507,1,0,12,1,1
20,1,0,761.6507,1,0,12,1,0
20,0,0,1808.9203,1,0,12,1,1
23,0,0,1999.3328,1,0,12,1,1
22,0,0,761.6507,1,0,15,1,0
17,0,0,590.27924,1,0,10,1,1
21,0,0,778.78784,1,0,12,1,1
18,0,0,618.84125,1,0,12,1,1
20,0,0,1142.4761,1,0,12,1,0
21,0,0,856.85706,1,0,10,1,1
19,0,0,856.85706,1,0,12,1,1
20,0,0,1047.2698,1,0,12,1,1
21,0,0,856.85706,1,0,12,1,1
21,0,0,1856.5238,0,1,12,1,1
19,0,0,913.98083,1,0,12,0,1
22,0,0,929.21362,1,0,12,0,1
20,0,0,809.25385,1,0,12,0,1
22,0,0,1818.4412,0,1,12,0,1
21,0,0,571.23804,0,1,12,0,0
23,1,0,1047.2698,1,0,12,1,0
18,0,1,925.40564,1,0,12,1,0
19,0,1,2618.1746,1,0,12,1,1
17,0,0,594.08759,1,0,9,1,1
20,0,0,1372.8756,0,1,12,1,1
23,0,0,761.6507,1,0,12,1,0
18,0,0,618.84125,1,0,12,1,0
21,0,0,1233.8741,1,0,16,1,0
20,0,0,285.61902,1,0,12,1,0
19,0,0,904.46014,1,0,12,1,1
22,0,0,792.11676,0,1,12,1,0
18,0,0,1904.1267,1,0,12,1,1
21,0,0,845.43231,1,0,12,1,0
20,1,0,666.44421,1,0,12,1,0
22,1,0,1193.8875,1,0,12,1,1
20,1,0,2307.8013,1,0,12,1,0
20,0,0,1190.0792,1,0,12,1,1
21,0,0,1075.8317,1,0,12,1,1
21,0,0,662.63599,0,1,12,1,0
19,0,0,877.80237,0,1,13,0,0
19,0,0,780.69189,1,0,12,1,1
20,0,0,731.18463,1,0,12,1,1
20,0,0,1837.4819,0,1,12,1,1
18,0,0,691.19806,1,0,12,1,0
19,0,0,934.92609,1,0,12,1,1
21,0,0,847.33649,0,1,12,1,1
19,0,0,1142.4761,1,0,12,1,1
20,0,0,767.3631,1,0,12,1,0
22,0,0,422.71616,1,0,15,1,1
22,0,0,548.38849,1,0,16,1,0
18,0,1,736.89691,1,0,12,1,0
20,0,0,666.44421,0,1,12,1,1
19,0,0,999.66638,1,0,12,1,1
18,0,0,790.2124,1,0,12,1,0
22,0,0,1647.0697,1,0,16,1,1
23,0,0,1555.6711,1,0,14,1,1
21,0,0,1094.8729,1,0,12,1,0
21,0,0,982.52917,1,0,13,1,1
21,0,0,856.85706,1,0,13,1,0
22,0,0,1713.7141,1,0,13,1,1
21,0,0,1142.4761,1,0,12,1,1
18,0,0,714.04755,1,0,12,1,0
22,0,0,889.22723,1,0,12,1,1
19,0,0,731.18463,1,0,12,1,1
21,0,0,750.22577,1,0,12,1,0
20,0,0,2538.2002,1,0,12,1,1
20,0,0,761.6507,1,0,12,1,0
19,0,0,799.73309,1,0,12,1,0
21,0,0,679.77307,1,0,12,1,1
20,0,0,952.06335,1,0,12,1,1
19,0,0,856.85706,0,1,12,0,1
22,0,0,595.99176,0,1,12,1,0
20,1,0,742.6095,1,0,12,0,0
22,0,0,952.06335,1,0,12,1,1
21,0,0,742.6095,0,1,12,1,0
19,0,0,714.04755,1,0,12,1,0
21,0,0,761.6507,1,0,12,1,1
20,0,0,1075.8317,1,0,12,1,1
21,0,0,1332.8884,1,0,12,1,1
21,0,0,856.85706,1,0,12,0,1
19,0,0,656.92371,1,0,12,1,0
21,0,0,807.34979,1,0,12,1,0
21,1,0,456.99042,1,0,13,1,0
20,0,0,609.32056,1,0,13,1,0
23,0,0,952.06335,1,0,9,1,1
19,0,0,973.00873,1,0,12,1,1
17,0,0,761.6507,1,0,8,0,1
22,0,0,628.36182,1,0,10,0,1
21,0,0,1047.2698,0,1,12,0,1
22,0,0,875.89825,1,0,11,1,1
23,0,0,1047.2698,1,0,12,1,1
23,0,0,1266.2439,0,1,12,1,0
19,0,1,1066.3108,0,1,12,1,0
22,0,1,1070.1193,0,1,11,1,1
16,0,1,468.41513,1,0,10,1,0
22,0,1,1028.2284,0,1,13,1,0
19,0,1,714.04755,1,0,10,1,1
20,0,1,761.6507,0,1,12,1,0
21,0,1,790.2124,0,1,11,1,0
21,0,0,952.06335,1,0,13,1,1
21,0,0,378.92123,1,0,16,1,0
20,0,0,675.96509,1,0,14,0,1
18,0,0,523.63489,1,0,12,1,1
18,0,0,590.27924,1,0,12,1,0
22,1,0,822.58276,1,0,12,1,1
19,1,0,832.10327,1,0,14,1,0
21,0,0,1327.1761,1,0,12,1,1
18,0,0,670.25262,1,0,12,1,0
20,0,0,809.25385,0,1,12,1,0
21,0,0,913.98083,1,0,13,1,1
21,0,0,590.27924,1,0,16,1,0
22,0,0,1728.9471,1,0,16,1,0
20,1,0,674.06091,1,0,12,1,1
18,0,0,877.80237,1,0,8,1,1
20,1,0,618.84125,1,0,13,1,0
19,1,0,561.71741,0,1,8,1,0
22,0,0,761.6507,0,1,8,1,0
22,0,0,856.85706,0,1,11,1,1
19,0,0,837.8158,1,0,12,0,1
19,0,0,590.27924,1,0,12,1,1
20,0,0,1096.777,0,1,12,1,1
21,0,0,481.74408,1,0,10,1,1
19,0,0,476.03168,1,0,12,1,1
21,0,0,1285.2856,1,0,15,1,0
22,0,0,832.10327,1,0,16,1,1
18,1,0,287.52304,1,0,12,1,0
18,0,0,761.6507,1,0,9,0,1
22,0,0,618.84125,1,0,8,0,1
22,0,0,843.52808,1,0,13,0,1
18,0,0,628.36182,0,1,12,0,0
18,0,0,666.44421,0,1,11,1,0
21,0,0,1734.6591,1,0,12,0,0
19,0,0,717.85577,1,0,12,0,0
22,0,0,870.18585,0,1,8,0,1
20,0,0,828.29504,0,1,9,0,1
18,0,0,571.23804,0,1,9,0,0
21,0,0,860.66528,1,0,12,1,1
21,0,0,607.41638,0,1,12,1,0
23,0,0,891.13141,1,0,12,1,1
22,0,0,835.9115,1,0,14,1,0
23,0,0,700.71863,1,0,12,1,0
21,0,0,887.32294,1,0,12,1,0
19,0,0,666.44421,1,0,12,1,1
19,0,0,856.85706,1,0,12,1,1
22,0,0,695.00635,0,1,7,0,0
21,0,0,856.85706,0,1,12,0,1
20,0,0,731.18463,0,1,12,0,0
17,0,0,952.06335,1,0,8,1,1
20,0,0,891.13141,1,0,12,1,1
19,1,0,761.6507,1,0,12,1,0
18,0,1,714.04755,1,0,12,1,0
19,0,1,714.04755,1,0,12,1,1
18,0,1,609.32056,1,0,9,1,1
20,0,0,952.06335,1,0,12,1,1
22,0,0,1294.8062,0,1,10,1,1
21,0,0,761.6507,1,0,12,1,0
22,0,0,879.70642,0,1,13,1,0
21,0,0,856.85706,1,0,13,1,1
20,0,0,1073.9276,1,0,13,1,0
22,1,0,868.28168,0,1,16,1,1
21,1,0,557.909,1,0,12,1,0
21,1,0,856.85706,0,1,12,1,1
23,0,0,999.66638,1,0,13,0,1
22,0,0,885.41882,0,1,12,0,0
22,0,0,801.63745,0,1,12,0,0
18,0,0,651.2113,1,0,12,1,0
23,1,0,727.37646,0,1,12,1,0
19,1,0,656.92371,1,0,12,1,0
23,1,0,792.11676,0,1,12,1,1
23,1,0,733.08868,1,0,12,1,1
19,1,0,592.18329,1,0,12,1,0
20,0,1,891.13141,1,0,12,1,0
21,0,0,666.44421,1,0,12,1,0
20,0,0,666.44421,1,0,12,1,1
20,0,0,1190.0792,1,0,12,1,0
20,0,0,952.06335,0,1,12,0,0
20,0,0,717.85577,1,0,12,1,1
19,0,0,695.00635,1,0,12,1,0
20,0,0,761.6507,1,0,12,1,1
22,0,0,885.41882,1,0,14,1,1
16,0,0,832.10327,1,0,9,1,0
22,0,0,830.19934,1,0,12,1,1
22,0,0,715.95166,0,1,12,1,0
21,0,0,830.19934,0,1,12,1,0
22,0,0,590.27924,0,1,12,1,0
23,0,0,609.32056,0,1,9,0,0
21,0,0,2475.365,1,0,12,1,1
20,0,0,742.6095,1,0,12,1,1
18,0,0,858.76111,1,0,12,1,0
20,0,0,774.97968,0,1,12,1,0
21,0,1,1708.0018,1,0,12,1,1
21,0,0,952.06335,1,0,11,1,1
21,0,0,906.36407,1,0,12,1,0
19,0,0,714.04755,1,0,12,1,0
23,0,0,1237.6825,1,0,11,1,1
19,0,1,476.03168,1,0,12,1,1
18,0,0,891.13141,1,0,12,1,0
21,1,0,679.77307,1,0,12,1,0
20,0,1,761.6507,1,0,12,1,0
19,0,0,809.25385,1,0,12,1,1
21,0,1,1052.9822,1,0,11,1,1
18,0,0,784.50012,1,0,11,1,0
22,0,1,1142.4761,0,1,9,1,1
22,0,0,714.04755,0,1,12,0,0
17,0,1,590.27924,1,0,12,1,0
21,0,0,1808.9203,1,0,14,1,0
20,0,1,784.50012,1,0,12,1,1
22,1,0,1713.7141,1,0,12,1,1
20,0,1,666.44421,1,0,11,1,1
21,0,0,952.06335,1,0,12,1,1
19,0,1,704.52698,1,0,12,1,1
20,0,0,761.6507,1,0,12,1,1
18,0,0,599.7998,1,0,12,1,1
20,0,0,761.6507,1,0,12,1,0
19,0,0,1142.4761,1,0,12,1,1
19,0,0,773.07556,1,0,12,1,0
18,1,0,714.04755,1,0,11,1,1
18,0,0,773.07556,1,0,12,1,0
22,0,0,1921.2639,0,1,16,1,1
17,0,0,590.27924,1,0,12,1,0
21,0,0,948.25488,1,0,12,1,1
19,0,0,872.08997,1,0,12,1,0
21,0,0,719.75977,1,0,12,1,0
20,0,0,993.95404,1,0,8,1,1
20,0,0,761.6507,1,0,12,1,0
19,0,0,603.60803,1,0,12,1,1
20,0,0,1056.7904,1,0,14,1,1
21,0,0,866.37762,1,0,12,1,1
22,0,0,1176.7501,0,1,15,1,0
21,0,0,999.66638,0,1,12,1,1
20,0,0,988.24182,1,0,12,0,1
22,0,0,519.82654,1,0,16,0,1
21,0,0,752.12994,1,0,12,0,0
18,0,0,666.44421,1,0,12,0,1
22,0,0,674.06091,1,0,12,0,0
22,0,0,599.7998,1,0,14,0,0
19,0,0,666.44421,1,0,12,0,0
21,0,0,656.92371,1,0,12,1,1
19,0,0,437.94913,1,0,13,0,0
20,0,0,952.06335,1,0,12,0,1
22,0,0,757.84247,0,1,12,0,1
21,0,0,626.45764,0,1,12,0,0
19,0,0,891.13141,1,0,12,0,1
22,0,0,1351.9302,1,0,12,0,1
22,0,0,1245.2991,0,1,12,1,1
19,0,0,714.04755,1,0,12,1,1
20,0,0,952.06335,1,0,12,1,1
19,0,0,1332.8884,1,0,12,0,1
20,0,0,666.44421,1,0,12,1,0
19,0,0,714.04755,1,0,12,1,0
20,0,0,799.73309,1,0,12,1,0
19,0,0,1904.1267,1,0,12,1,1
19,0,0,879.70642,1,0,11,1,1
19,0,0,780.69189,1,0,10,1,1
20,0,0,647.40308,1,0,12,1,0
21,0,0,1180.5585,0,1,12,0,1
20,0,0,1148.1881,1,0,12,0,0
22,0,0,342.7428,0,1,12,0,1
23,0,0,733.08868,0,1,12,0,0
21,0,0,333.22211,1,0,12,0,0
22,0,0,695.00635,1,0,16,1,0
22,0,0,666.44421,1,0,14,0,0
21,0,0,681.67749,1,0,12,0,1
19,0,0,856.85706,1,0,12,0,1
22,0,0,1256.7238,0,1,12,0,1
21,0,0,1132.9552,0,1,10,0,0
20,0,0,1332.8884,1,0,12,0,1
22,0,0,952.06335,0,1,12,0,1
20,0,0,1647.0697,1,0,12,1,1
23,0,0,790.2124,1,0,13,0,0
21,0,0,828.29504,0,1,10,0,0
21,0,0,1106.2976,1,0,12,0,1
21,0,0,776.88367,1,0,12,0,0
19,0,0,656.92371,1,0,12,0,0
18,0,0,514.1142,1,0,12,0,0
17,0,0,666.44421,1,0,8,0,1
20,0,0,714.04755,1,0,13,0,1
22,0,0,1081.5441,1,0,12,0,1
20,0,0,628.36182,1,0,12,0,0
20,0,0,717.85577,1,0,12,0,0
20,0,0,639.78644,1,0,13,0,0
22,0,0,634.07428,1,0,12,0,1
21,0,0,2142.1426,0,1,12,0,1
18,1,0,1047.2698,1,0,12,0,1
19,0,0,708.33508,1,0,12,0,1
18,0,0,590.27924,1,0,12,0,0
18,0,0,761.6507,0,1,12,0,1
20,0,0,761.6507,1,0,14,0,1
22,0,0,1024.42,1,0,12,0,1
22,0,0,849.24042,0,1,8,0,1
22,0,0,931.11774,0,1,12,0,0
21,0,0,666.44421,0,1,12,0,1
20,0,0,668.34857,0,1,12,0,0
18,0,0,521.73071,1,0,11,0,0
19,1,0,1216.7372,1,0,12,0,0
19,0,0,685.4856,0,1,12,0,0
19,0,0,1485.219,0,1,12,0,1
19,1,0,693.10205,1,0,11,0,1
20,0,0,784.50012,0,1,12,0,1
19,0,0,1730.851,1,0,13,0,0
20,0,0,952.06335,1,0,12,0,1
17,0,1,898.74786,1,0,8,0,1
20,1,0,656.92371,1,0,12,0,1
20,1,0,845.43231,1,0,12,0,0
22,0,0,814.96606,1,0,16,0,0
22,0,0,835.9115,1,0,16,1,0
22,0,0,1056.7904,1,0,12,1,1
21,0,0,952.06335,0,1,14,1,1
19,0,0,632.16992,0,1,12,1,0
16,0,0,845.43231,1,0,9,1,1
18,0,0,550.29254,0,1,8,1,0
20,0,0,1237.6825,0,1,9,1,1
18,0,0,999.66638,0,1,9,1,1
18,0,0,736.89691,1,0,12,1,0
21,0,0,666.44421,0,1,14,1,1
17,0,0,599.7998,1,0,12,1,1
23,0,0,761.6507,1,0,13,1,0
23,0,0,904.46014,0,1,15,1,1
19,0,0,813.06219,1,0,12,1,1
23,0,0,727.37646,1,0,13,1,0
19,1,0,856.85706,1,0,12,1,1
20,1,0,832.10327,1,0,9,1,1
18,1,0,712.14337,1,0,9,1,0
17,1,0,792.11676,1,0,10,1,1
21,1,0,590.27924,1,0,9,1,1
17,0,0,714.04755,1,0,10,1,1
22,0,0,729.28033,0,1,12,1,0
21,0,0,628.36182,1,0,13,1,0
18,0,0,1028.2284,0,1,10,1,1
22,0,0,1142.4761,1,0,12,1,1
19,0,0,776.88367,1,0,11,1,1
23,0,0,952.06335,0,1,12,1,1
20,0,0,618.84125,1,0,12,1,1
21,0,0,1601.3701,1,0,12,1,1
17,0,0,476.03168,1,0,12,1,0
18,0,0,706.43097,1,0,12,1,1
23,0,0,1755.6047,0,1,13,1,1
20,0,0,594.08759,0,1,12,1,0
20,0,0,544.58032,1,0,12,0,1
21,0,0,561.71741,1,0,12,0,1
20,0,0,679.77307,1,0,12,0,1
20,0,0,955.8717,1,0,12,0,0
21,0,0,1028.2284,0,1,12,0,1
20,0,0,714.04755,0,1,11,0,1
21,0,0,571.23804,0,1,12,0,0
20,0,0,525.53894,0,1,12,0,0
20,0,0,990.146,0,1,12,0,1
19,0,0,519.82654,0,1,12,0,0
22,0,0,761.6507,1,0,12,1,1
19,0,0,733.08868,1,0,10,1,0
20,0,0,1332.8884,1,0,12,0,1
21,0,0,672.15662,1,0,11,0,0
22,0,0,1142.4761,1,0,15,1,1
19,0,0,594.08759,1,0,12,0,0
21,0,0,1273.8606,0,1,14,0,0
19,0,0,832.10327,0,1,12,0,0
20,0,0,590.27924,0,1,8,0,1
22,0,0,546.48419,0,1,12,0,0
21,0,0,1332.8884,0,1,8,0,1
22,0,0,380.82535,1,0,12,0,1
22,0,0,599.7998,1,0,12,0,0
19,0,0,571.23804,1,0,12,0,1
21,0,0,1106.2976,1,0,14,1,1
18,0,0,639.78644,1,0,12,0,1
23,0,0,780.69189,0,1,13,0,1
21,0,0,952.06335,0,1,12,0,1
20,0,0,858.76111,0,1,10,0,0
22,0,0,666.44421,0,1,12,0,1
