state,year,fips,vmt,fatalityrate,sb_useage,speed65,speed70,drinkage21,ba08,income,age,primary,secondary
AK,1983,2,3358,0.04466944560408592,NA,0,0,1,0,17973,28.234966278076172,0,0
AK,1984,2,3589,0.037336304783821106,NA,0,0,1,0,18093,28.343542098999023,0,0
AK,1985,2,3840,0.03307291492819786,NA,0,0,1,0,18925,28.37281608581543,0,0
AK,1986,2,4008,0.02519960142672062,NA,0,0,1,0,18466,28.396652221679688,0,0
AK,1987,2,3900,0.019487179815769196,NA,0,0,1,0,18021,28.453250885009766,0,0
AK,1988,2,3841,0.025253839790821075,NA,0,0,1,0,18447,28.85141944885254,0,0
AK,1989,2,3887,0.021610496565699577,NA,0,0,1,0,19970,29.148954391479492,0,0
AK,1990,2,3979,0.02462930418550968,0.44999998807907104,0,0,1,0,21073,29.586284637451172,0,0
AK,1991,2,4021,0.025118129327893257,0.6600000262260437,0,0,1,0,21496,29.82771110534668,0,1
AK,1992,2,3841,0.028117677196860313,0.6600000262260437,1,0,1,0,22073,30.210697174072266,0,1
AK,1993,2,3918,0.03011740744113922,0.6899999976158142,1,0,1,0,22711,30.464385986328125,0,1
AK,1994,2,4150,0.020481927320361137,0.6899999976158142,1,0,1,0,23417,30.75657081604004,0,1
AK,1995,2,4123,0.02110113948583603,0.6899999976158142,1,0,1,0,23971,31.17859649658203,0,1
AK,1996,2,4115,0.01968408189713955,0.6899999976158142,1,0,1,0,24310,31.445354461669922,0,1
AK,1997,2,4387,0.017551857978105545,0.6899999976158142,1,0,1,0,24969,31.60147476196289,0,1
AL,1983,1,31032,0.02996906451880932,NA,0,0,0,0,9505,34.200645446777344,0,0
AL,1984,1,32961,0.02827584184706211,0.12999999523162842,0,0,0,0,10417,34.421630859375,0,0
AL,1985,1,35091,0.025134649127721786,0.17000000178813934,0,0,1,0,11133,34.602569580078125,0,0
AL,1986,1,34003,0.031791310757398605,0.28999999165534973,0,0,1,0,11736,34.76067352294922,0,0
AL,1987,1,37426,0.0296852458268404,0.20999999344348907,1,0,1,0,12394,34.955657958984375,0,0
AL,1988,1,39684,0.02580385096371174,0.28999999165534973,1,0,1,0,13288,35.13695526123047,0,0
AL,1989,1,40765,0.025242242962121964,0.3799999952316284,1,0,1,0,14266,35.327857971191406,0,0
AL,1990,1,42347,0.02647176943719387,0.4399999976158142,1,0,1,0,15213,35.6229248046875,0,0
AL,1991,1,42924,0.025999441742897034,0.4699999988079071,1,0,1,0,15895,35.68873596191406,0,0
AL,1992,1,45762,0.022529609501361847,0.5799999833106995,1,0,1,0,16817,35.832618713378906,0,1
AL,1993,1,47337,0.022054629400372505,0.550000011920929,1,0,1,0,17398,35.9482536315918,0,1
AL,1994,1,48956,0.022121906280517578,0.550000011920929,1,0,1,0,18163,36.092010498046875,0,1
AL,1995,1,50628,0.02200363390147686,0.5199999809265137,1,1,1,1,19041,36.205745697021484,0,1
AL,1996,1,51433,0.02228141389787197,0.5400000214576721,1,1,1,1,19838,36.3851318359375,0,1
AL,1997,1,53458,0.022297877818346024,0.5199999809265137,1,1,1,1,20672,36.5007209777832,0,1
AR,1983,5,16684,0.03338528051972389,NA,0,0,1,0,9267,35.42213821411133,0,0
AR,1984,5,16621,0.03158654645085335,NA,0,0,1,0,10263,35.56396484375,0,0
AR,1985,5,17112,0.031206171959638596,NA,0,0,1,0,10919,35.69191360473633,0,0
AR,1986,5,17555,0.03434918820858002,0.1979999989271164,0,0,1,0,11409,35.86726760864258,0,0
AR,1987,5,18306,0.03490658849477768,NA,1,0,1,0,11842,36.00813293457031,0,0
AR,1988,5,19219,0.03173942491412163,0.3009999990463257,1,0,1,0,12637,36.14386749267578,0,0
AR,1989,5,20414,0.03169393539428711,NA,1,0,1,0,13353,36.292083740234375,0,0
AR,1990,5,21011,0.028746847063302994,0.3400000035762787,1,0,1,0,14025,36.425682067871094,0,0
AR,1991,5,21934,0.027719521895051003,0.5199999809265137,1,0,1,0,14766,36.46631622314453,0,1
AR,1992,5,23081,0.025475500151515007,0.550000011920929,1,0,1,0,15807,36.505699157714844,0,1
AR,1993,5,23995,0.024296728894114494,0.550000011920929,1,0,1,0,16380,36.59257507324219,0,1
AR,1994,5,24948,0.024410774931311607,0.5099999904632568,1,0,1,0,17090,36.62239074707031,0,1
AR,1995,5,26653,0.023674633353948593,0.5099999904632568,1,0,1,0,17934,36.62849044799805,0,1
AR,1996,5,27840,0.022090516984462738,0.47999998927116394,1,0,1,0,18808,36.66523742675781,0,1
AR,1997,5,28144,0.02345082350075245,0.47999998927116394,1,0,1,0,19595,36.81757736206055,0,1
AZ,1983,4,19611,0.034419458359479904,NA,0,0,0,0,11277,34.114219665527344,0,0
AZ,1984,4,20613,0.0421578623354435,NA,0,0,1,0,12375,34.2470703125,0,0
AZ,1985,4,21580,0.04138090834021568,NA,0,0,1,0,13280,34.33135986328125,0,0
AZ,1986,4,22665,0.04442973807454109,NA,0,0,1,0,13980,34.475341796875,0,0
AZ,1987,4,31729,0.02959437668323517,NA,1,0,1,0,14631,34.543025970458984,0,0
AZ,1988,4,34247,0.027564458549022675,NA,1,0,1,0,15246,34.656131744384766,0,0
AZ,1989,4,34816,0.025247013196349144,NA,1,0,1,0,15919,34.70410919189453,0,0
AZ,1990,4,35456,0.0245092511177063,0.550000011920929,1,0,1,0,16608,34.885623931884766,0,0
AZ,1991,4,34929,0.023361677303910255,0.6499999761581421,1,0,1,0,16971,35.004905700683594,0,1
AZ,1992,4,35047,0.023083288222551346,0.7300000190734863,1,0,1,0,17583,35.192466735839844,0,1
AZ,1993,4,39150,0.020459769293665886,0.7300000190734863,1,0,1,0,18270,35.283260345458984,0,1
AZ,1994,4,38774,0.023314591497182846,0.6000000238418579,1,0,1,0,19127,35.495933532714844,0,1
AZ,1995,4,39653,0.026101429015398026,0.6000000238418579,1,1,1,0,20078,35.4948616027832,0,1
AZ,1996,4,42123,0.023597558960318565,0.5600000023841858,1,1,1,0,21071,35.552433013916016,0,1
AZ,1997,4,43491,0.02186659350991249,0.6299999952316284,1,1,1,0,21998,35.700435638427734,0,1
CA,1983,6,182652,0.025036681443452835,NA,0,0,1,0,14258,33.737457275390625,0,0
CA,1984,6,196537,0.02554226480424404,NA,0,0,1,0,15593,33.784427642822266,0,0
CA,1985,6,207600,0.023892100900411606,0.257999986410141,0,0,1,0,16523,33.80182647705078,0,0
CA,1986,6,214913,0.02444244921207428,0.45430001616477966,0,0,1,0,17255,33.81114196777344,0,1
CA,1987,6,226301,0.02432158961892128,0.48099997639656067,1,0,1,0,18175,33.82216262817383,0,1
CA,1988,6,241575,0.02232019044458866,0.5084999799728394,1,0,1,0,19263,33.80380630493164,0,1
CA,1989,6,251482,0.021520426496863365,0.5329999923706055,1,0,1,0,20226,33.75920867919922,0,1
CA,1990,6,258926,0.02005206048488617,0.5709999799728394,1,0,1,1,21363,33.83672332763672,0,1
CA,1991,6,257976,0.018172232434153557,0.5934999585151672,1,0,1,1,21491,33.798492431640625,0,1
CA,1992,6,262548,0.01596660353243351,0.6660000085830688,1,0,1,1,22191,33.89958190917969,0,1
CA,1993,6,266408,0.01563016138970852,0.8130000233650208,1,0,1,1,22430,33.982059478759766,0,1
CA,1994,6,271943,0.015562084503471851,0.8269999623298645,1,0,1,1,22953,34.05400466918945,0,1
CA,1995,6,276371,0.015168016776442528,0.8169999718666077,1,1,1,1,23983,34.177371978759766,0,1
CA,1996,6,278043,0.01434670202434063,0.8450000286102295,1,1,1,1,25142,34.29433059692383,0,1
CA,1997,6,285612,0.012912622652947903,0.8519999980926514,1,1,1,1,26314,34.48208999633789,0,1
CO,1983,8,24109,0.026794973760843277,NA,0,0,0,0,13460,32.60922622680664,0,0
CO,1984,8,24588,0.024727508425712585,NA,0,0,0,0,14597,32.79043960571289,0,0
CO,1985,8,26146,0.022144878283143044,NA,0,0,0,0,15224,32.945457458496094,0,0
CO,1986,8,26382,0.022856492549180984,NA,0,0,0,0,15571,33.11536407470703,0,0
CO,1987,8,26968,0.021914862096309662,NA,1,0,1,0,16147,33.291236877441406,0,1
CO,1988,8,27665,0.017964936792850494,NA,1,0,1,0,16985,33.52191925048828,0,1
CO,1989,8,27577,0.01911012828350067,NA,1,0,1,0,18110,33.773643493652344,0,1
CO,1990,8,27178,0.02001618966460228,0.5,1,0,1,0,19290,34.018829345703125,0,1
CO,1991,8,27744,0.019571799784898758,0.5099999904632568,1,0,1,0,20099,34.17677307128906,0,1
CO,1992,8,28927,0.018045425415039063,0.5,1,0,1,0,21005,34.346351623535156,0,1
CO,1993,8,32718,0.017085395753383636,0.5299999713897705,1,0,1,0,22117,34.55241012573242,0,1
CO,1994,8,33705,0.017386144027113914,0.5400000214576721,1,0,1,0,23019,34.784156799316406,0,1
CO,1995,8,35058,0.018398083746433258,0.5600000023841858,1,0,1,0,24304,34.989418029785156,0,1
CO,1996,8,36141,0.017072023823857307,0.5600000023841858,1,0,1,0,25627,35.19138717651367,0,1
CO,1997,8,37746,0.016240131109952927,0.5899999737739563,1,0,1,0,27015,35.31958770751953,0,1
CT,1983,9,20630,0.021231217309832573,NA,0,0,0,0,15620,36.03425216674805,0,0
CT,1984,9,21076,0.022252799943089485,NA,0,0,0,0,17360,36.19123840332031,0,0
CT,1985,9,22152,0.020223908126354218,NA,0,0,1,0,18531,36.30097961425781,0,0
CT,1986,9,24053,0.018916558474302292,NA,0,0,1,0,19815,36.355384826660156,1,0
CT,1987,9,26775,0.016769373789429665,NA,0,0,1,0,21588,36.45134735107422,1,0
CT,1988,9,26062,0.018571099266409874,NA,0,0,1,0,23699,36.501705169677734,1,0
CT,1989,9,26183,0.015506244264543056,NA,0,0,1,0,25407,36.574378967285156,1,0
CT,1990,9,26303,0.01463711354881525,0.5899999737739563,0,0,1,0,26453,36.77009582519531,1,0
CT,1991,9,26628,0.011641880497336388,0.6100000143051147,1,0,1,0,26721,36.820640563964844,1,0
CT,1992,9,26459,0.011187119409441948,0.7099999785423279,0,0,1,0,28345,36.97710037231445,1,0
CT,1993,9,27001,0.012666197493672371,0.7099999785423279,0,0,1,0,29232,37.06562042236328,1,0
CT,1994,9,27138,0.011423096992075443,0.7200000286102295,0,0,1,0,30310,37.16059112548828,1,0
CT,1995,9,28045,0.011303262785077095,0.7200000286102295,0,0,1,0,32073,37.27995681762695,1,0
CT,1996,9,28135,0.011018304154276848,0.6200000047683716,0,0,1,0,33979,37.42756652832031,1,0
CT,1997,9,28552,0.011873073875904083,0.6399999856948853,0,0,1,0,35863,37.547279357910156,1,0
DC,1983,11,3099,0.021297192201018333,NA,0,0,0,0,15267,35.723854064941406,0,0
DC,1984,11,3214,0.019912881776690483,NA,0,0,0,0,16620,35.83572769165039,0,0
DC,1985,11,3223,0.018616195768117905,NA,0,0,0,0,17531,35.887428283691406,0,0
DC,1986,11,3287,0.013386066071689129,NA,0,0,1,0,18335,35.89140701293945,0,1
DC,1987,11,3368,0.01573634147644043,NA,1,0,1,0,19566,35.97663879394531,0,1
DC,1988,11,3405,0.01791483163833618,NA,1,0,1,0,21782,36.04153823852539,0,1
DC,1989,11,3414,0.02108963020145893,NA,1,0,1,0,23438,36.11649703979492,0,1
DC,1990,11,3407,0.014088640920817852,0.49000000953674316,1,0,1,0,25646,36.91365432739258,0,1
DC,1991,11,3430,0.01836734637618065,0.49000000953674316,1,0,1,0,27028,36.86104965209961,0,1
DC,1992,11,3562,0.014037057757377625,0.5899999737739563,1,0,1,0,28597,37.041351318359375,0,1
DC,1993,11,3485,0.016355810686945915,0.6200000047683716,1,0,1,0,29912,37.230857849121094,0,1
DC,1994,11,3448,0.020011600106954575,0.6200000047683716,1,0,1,0,31212,37.42154312133789,0,1
DC,1995,11,3465,0.01673881709575653,0.6299999952316284,1,0,1,0,32398,37.650447845458984,0,1
DC,1996,11,3316,0.0186972264200449,0.5799999833106995,1,0,1,0,34213,38.0677490234375,0,1
DC,1997,11,3326,0.018039686605334282,0.6600000262260437,1,0,1,0,35704,38.37567138671875,0,1
DE,1983,10,4886,0.02251330390572548,NA,0,0,1,0,13159,34.2215461730957,0,0
DE,1984,10,5138,0.025301674380898476,NA,0,0,1,0,14291,34.42246627807617,0,0
DE,1985,10,5365,0.019384901970624924,NA,0,0,1,0,15451,34.565940856933594,0,0
DE,1986,10,5762,0.023602915927767754,NA,0,0,1,0,16257,34.70903015136719,0,0
DE,1987,10,6086,0.0239894837141037,NA,1,0,1,0,17423,34.91209030151367,0,0
DE,1988,10,6404,0.024984383955597878,NA,1,0,1,0,18878,35.06134796142578,0,0
DE,1989,10,6446,0.01799565553665161,NA,1,0,1,0,20563,35.174129486083984,0,0
DE,1990,10,6548,0.021075136959552765,0.44999998807907104,1,0,1,0,21590,35.42388916015625,0,0
DE,1991,10,6721,0.015176312997937202,0.5400000214576721,1,0,1,0,22241,35.491249084472656,0,0
DE,1992,10,6892,0.020313406363129616,0.699999988079071,1,0,1,0,23004,35.65156173706055,0,1
DE,1993,10,6895,0.015953589230775833,0.6299999952316284,1,0,1,0,23542,35.84437561035156,0,1
DE,1994,10,7025,0.01594305969774723,0.5899999737739563,1,0,1,0,24465,35.96849822998047,0,1
DE,1995,10,7515,0.016101131215691566,0.6299999952316284,1,0,1,0,25603,36.24026870727539,0,1
DE,1996,10,7666,0.015131750144064426,0.6200000047683716,1,0,1,0,27125,36.4600944519043,0,1
DE,1997,10,8007,0.01785937324166298,0.5899999737739563,1,0,1,0,28493,36.59891891479492,0,1
FL,1983,12,81776,0.03284582123160362,NA,0,0,0,0,12469,38.515419006347656,0,0
FL,1984,12,85475,0.03292190656065941,NA,0,0,0,0,13476,38.63661193847656,0,0
FL,1985,12,88056,0.032161351293325424,0.22299998998641968,0,0,1,0,14367,38.70985794067383,0,0
FL,1986,12,87273,0.03243844211101532,0.34450000524520874,0,0,1,0,15102,38.73518371582031,0,0
FL,1987,12,93819,0.030260395258665085,0.5515000224113464,1,0,1,0,16001,38.80276107788086,0,1
FL,1988,12,105319,0.02922549657523632,0.47099998593330383,1,0,1,0,17092,38.82339859008789,0,1
FL,1989,12,108877,0.027407074347138405,0.550000011920929,1,0,1,0,18405,38.87442398071289,0,1
FL,1990,12,109997,0.0262825358659029,0.5299999713897705,1,0,1,0,19127,38.69661331176758,0,1
FL,1991,12,113483,0.0217036921530962,0.5295000076293945,1,0,1,0,19451,38.76631164550781,0,1
FL,1992,12,114311,0.021231552585959435,0.5579999685287476,1,0,1,0,19910,38.835044860839844,0,1
FL,1993,12,120467,0.02188151143491268,0.6159999966621399,1,0,1,0,21080,38.86478042602539,0,1
FL,1994,12,121989,0.022026576101779938,0.6019999980926514,1,0,1,1,21761,38.92696762084961,0,1
FL,1995,12,127801,0.021948184818029404,0.5899999737739563,1,1,1,1,22676,38.998172760009766,0,1
FL,1996,12,130004,0.02117627114057541,0.6270000338554382,1,1,1,1,23834,39.10276794433594,0,1
FL,1997,12,134007,0.02078249678015709,0.6000000238418579,1,1,1,1,24799,39.16958236694336,0,1
GA,1983,13,48837,0.026537256315350533,NA,0,0,0,0,10742,32.933284759521484,0,0
GA,1984,13,50486,0.027928534895181656,NA,0,0,0,0,12028,33.10338592529297,0,0
GA,1985,13,53713,0.025338372215628624,NA,0,0,0,0,12928,33.20223617553711,0,0
GA,1986,13,56833,0.026920979842543602,NA,0,0,1,0,13768,33.30276870727539,0,0
GA,1987,13,60293,0.026520492509007454,0.1979999989271164,0,0,1,0,14562,33.43366241455078,0,0
GA,1988,13,62262,0.02656516060233116,0.27799999713897705,1,0,1,0,15591,33.50747299194336,0,1
GA,1989,13,75705,0.021557360887527466,0.3879999816417694,1,0,1,0,16466,33.58586502075195,0,1
GA,1990,13,72746,0.02147197164595127,0.4169999957084656,1,0,1,0,17385,33.85953140258789,0,1
GA,1991,13,73005,0.019026093184947968,0.4559999704360962,1,0,1,0,17930,33.961891174316406,0,1
GA,1992,13,77904,0.016879748553037643,0.460999995470047,1,0,1,0,18888,34.09487533569336,0,1
GA,1993,13,78426,0.01777471788227558,0.5720000267028809,1,0,1,0,19668,34.179443359375,0,1
GA,1994,13,82822,0.017205573618412018,0.5290000438690186,1,0,1,0,20632,34.30394744873047,0,1
GA,1995,13,85384,0.017427152022719383,0.5070000290870667,1,1,1,0,21696,34.415077209472656,0,1
GA,1996,13,89132,0.017647983506321907,0.6110000014305115,1,1,1,0,22900,34.52568435668945,0,1
GA,1997,13,93317,0.016899386420845985,0.6800000071525574,1,1,1,1,23882,34.63507843017578,0,1
HI,1983,15,5873,0.024008173495531082,NA,0,0,0,0,13028,32.7169303894043,0,0
HI,1984,15,6505,0.021214449778199196,NA,0,0,0,0,13740,32.9384651184082,0,0
HI,1985,15,6762,0.018633540719747543,0.33000001311302185,0,0,0,0,14494,33.160858154296875,0,0
HI,1986,15,6971,0.017214173451066017,0.7260000109672546,0,0,1,0,15325,33.480857849121094,1,0
HI,1987,15,7218,0.01925741136074066,0.6610000133514404,0,0,1,0,16262,33.816184997558594,1,0
HI,1988,15,7419,0.01994878053665161,0.6650000214576721,0,0,1,0,17815,34.10531234741211,1,0
HI,1989,15,7750,0.01922580599784851,0.7830000519752502,0,0,1,0,19395,34.371856689453125,1,0
HI,1990,15,8066,0.021943962201476097,0.8050000071525574,0,0,1,0,21529,34.87897491455078,1,0
HI,1991,15,8143,0.016578655689954758,0.8530000448226929,0,0,1,0,22171,34.97967529296875,1,0
HI,1992,15,8066,0.015993056818842888,0.8309999704360962,0,0,1,0,22906,35.17717361450195,1,0
HI,1993,15,8074,0.016596483066678047,0.8419999480247498,0,0,1,0,23638,35.34814453125,1,0
HI,1994,15,7935,0.015374921262264252,0.824999988079071,0,0,1,0,24090,35.526580810546875,1,0
HI,1995,15,7945,0.016362491995096207,0.7990000247955322,0,0,1,0,24848,35.7653923034668,1,0
HI,1996,15,8030,0.018430884927511215,0.800000011920929,0,0,1,0,25086,36.07123947143555,1,0
HI,1997,15,7947,0.016484208405017853,0.800000011920929,0,0,1,1,25598,36.396507263183594,1,0
IA,1983,19,19661,0.02614312618970871,NA,0,0,0,0,11218,35.41376876831055,0,0
IA,1984,19,20497,0.020490802824497223,NA,0,0,0,0,12460,35.60499954223633,0,0
IA,1985,19,20191,0.023475805297493935,0.18000000715255737,0,0,0,0,13042,35.81484603881836,0,0
IA,1986,19,20413,0.02160388045012951,0.4300000071525574,0,0,1,0,13688,36.08493423461914,1,0
IA,1987,19,20808,0.023596692830324173,0.5600000023841858,1,0,1,0,14511,36.37153244018555,1,0
IA,1988,19,21907,0.025425663217902184,0.550000011920929,1,0,1,0,14882,36.568565368652344,1,0
IA,1989,19,22571,0.02277258411049843,0.5899999737739563,1,0,1,0,16058,36.668819427490234,1,0
IA,1990,19,22993,0.020223546773195267,0.6100000143051147,1,0,1,0,16885,36.66960144042969,1,0
IA,1991,19,23020,0.021198958158493042,0.6800000071525574,1,0,1,0,17304,36.69196319580078,1,0
IA,1992,19,23926,0.0182646494358778,0.7099999785423279,1,0,1,0,18368,36.8526496887207,1,0
IA,1993,19,25118,0.018273748457431793,0.7300000190734863,1,0,1,0,18461,36.93944549560547,1,0
IA,1994,19,25737,0.018572483211755753,0.7300000190734863,1,0,1,0,19964,37.05332565307617,1,0
IA,1995,19,25987,0.02027937024831772,0.7599999904632568,1,0,1,0,20412,37.204322814941406,1,0
IA,1996,19,26880,0.01729910634458065,0.75,1,0,1,0,22032,37.29957580566406,1,0
IA,1997,19,27984,0.016723841428756714,0.75,1,0,1,0,23120,37.3758659362793,1,0
ID,1983,16,8287,0.031736455857753754,NA,0,0,0,0,10122,32.17271423339844,0,0
ID,1984,16,7768,0.031153449788689613,NA,0,0,0,0,10780,32.363319396972656,0,0
ID,1985,16,7710,0.03307392820715904,0.23499999940395355,0,0,0,0,11331,32.60077667236328,0,0
ID,1986,16,7781,0.03315769135951996,0.27000001072883606,0,0,0,0,11663,32.86223220825195,0,1
ID,1987,16,8119,0.03202364966273308,0.3199999928474426,1,0,1,0,12265,33.19096374511719,0,1
ID,1988,16,8127,0.031622983515262604,0.3400000035762787,1,0,1,0,13108,33.488563537597656,0,1
ID,1989,16,8422,0.028259320184588432,0.33000001311302185,1,0,1,0,14283,33.70093536376953,0,1
ID,1990,16,9849,0.024774089455604553,0.3499999940395355,1,0,1,0,15346,33.76304626464844,0,1
ID,1991,16,10318,0.025586353614926338,0.46000000834465027,1,0,1,0,15664,33.91727828979492,0,1
ID,1992,16,10764,0.022575251758098602,0.5299999713897705,1,0,1,0,16607,33.99413299560547,0,1
ID,1993,16,11481,0.020033098757267,0.5899999737739563,1,0,1,0,17699,34.041114807128906,0,1
ID,1994,16,11652,0.021455544978380203,0.5400000214576721,1,0,1,0,18186,34.06496047973633,0,1
ID,1995,16,12296,0.021307742223143578,0.5,1,1,1,0,18961,34.20653533935547,0,1
ID,1996,16,12961,0.019905870780348778,0.5,1,1,1,0,19741,34.35408401489258,0,1
ID,1997,16,12880,0.020108696073293686,0.49000000953674316,1,1,1,1,20392,34.50406265258789,0,1
IL,1983,17,67370,0.022651031613349915,NA,0,0,1,0,13180,34.36076736450195,0,0
IL,1984,17,69910,0.022128451615571976,NA,0,0,1,0,14547,34.469303131103516,0,0
IL,1985,17,70844,0.02165321074426174,0.1589999943971634,0,0,1,0,15322,34.60091781616211,0,0
IL,1986,17,74144,0.021525679156184196,0.3620000183582306,0,0,1,0,16106,34.71235656738281,0,1
IL,1987,17,75756,0.021833254024386406,0.37299999594688416,1,0,1,0,17066,34.87645721435547,0,1
IL,1988,17,78483,0.023406343534588814,0.39500001072883606,1,0,1,0,18212,35.033119201660156,0,1
IL,1989,17,81297,0.021501408889889717,0.4000000059604645,1,0,1,0,19427,35.15080261230469,0,1
IL,1990,17,83334,0.019067848101258278,0.47099998593330383,1,0,1,0,20494,35.420413970947266,0,1
IL,1991,17,85430,0.016949549317359924,0.5040000081062317,1,0,1,0,20966,35.4195442199707,0,1
IL,1992,17,87642,0.0157915148884058,0.6399999856948853,1,0,1,0,22209,35.51555252075195,0,1
IL,1993,17,89693,0.015519605949521065,0.6700000166893005,1,0,1,0,22895,35.59360885620117,0,1
IL,1994,17,92316,0.016833484172821045,0.6830000281333923,1,0,1,0,23956,35.62672805786133,0,1
IL,1995,17,94189,0.01683848351240158,0.6869999766349792,1,0,1,0,25135,35.671321868896484,0,1
IL,1996,17,96730,0.015269306488335133,0.6399999856948853,1,0,1,0,26393,35.7241096496582,0,1
IL,1997,17,99319,0.014065788127481937,0.6419999599456787,1,0,1,1,27688,35.78322219848633,0,1
IN,1983,18,39837,0.02550392784178257,NA,0,0,1,0,11001,34.07998275756836,0,0
IN,1984,18,41074,0.02252032980322838,NA,0,0,1,0,12199,34.29331588745117,0,0
IN,1985,18,40782,0.023883085697889328,NA,0,0,1,0,12844,34.491764068603516,0,0
IN,1986,18,40780,0.025453653186559677,0.19600000977516174,0,0,1,0,13513,34.69554901123047,0,0
IN,1987,18,44122,0.023910973221063614,0.367000013589859,1,0,1,0,14324,34.89601516723633,0,1
IN,1988,18,51124,0.02149675227701664,0.44099998474121094,1,0,1,0,15231,35.062870025634766,0,1
IN,1989,18,56192,0.017280040308833122,0.460999995470047,1,0,1,0,16296,35.15726852416992,0,1
IN,1990,18,53697,0.019535541534423828,0.4729999899864197,1,0,1,0,17167,35.44170379638672,0,1
IN,1991,18,54266,0.018833154812455177,0.5199999809265137,1,0,1,0,17624,35.497703552246094,0,1
IN,1992,18,57072,0.015787076205015182,0.5600000023841858,1,0,1,0,18763,35.6531867980957,0,1
IN,1993,18,60461,0.014902167953550816,0.5600000023841858,1,0,1,0,19649,35.76839828491211,0,1
IN,1994,18,62108,0.01563405618071556,0.5600000023841858,1,0,1,0,20734,35.834754943847656,0,1
IN,1995,18,64552,0.014871731400489807,0.6399999856948853,1,0,1,0,21427,35.93618392944336,0,1
IN,1996,18,66220,0.014859559014439583,0.6200000047683716,1,0,1,0,22234,36.06284713745117,0,1
IN,1997,18,68620,0.013625765219330788,0.6299999952316284,1,0,1,0,23202,36.10934066772461,0,1
KS,1983,20,18153,0.022640885785222054,NA,0,0,0,0,12273,34.97045135498047,0,0
KS,1984,20,18717,0.0272479560226202,NA,0,0,0,0,13421,35.08153533935547,0,0
KS,1985,20,19275,0.02521400712430477,0.0989999994635582,0,0,1,0,14121,35.14977264404297,0,0
KS,1986,20,19826,0.02521940879523754,0.23600000143051147,0,0,1,0,14703,35.29528045654297,0,1
KS,1987,20,20561,0.023880161345005035,0.4229999780654907,1,0,1,0,15327,35.36159133911133,0,1
KS,1988,20,21161,0.022825008258223534,0.4819999933242798,1,0,1,0,16040,35.44693374633789,0,1
KS,1989,20,21913,0.01953178457915783,0.5199999809265137,1,0,1,0,16802,35.47808074951172,0,1
KS,1990,20,22849,0.01943192258477211,0.578000009059906,1,0,1,0,17940,35.59708023071289,0,1
KS,1991,20,23186,0.01763995550572872,0.6349999904632568,1,0,1,0,18492,35.600467681884766,0,1
KS,1992,20,24163,0.016016222536563873,0.703000009059906,1,0,1,0,19447,35.71392059326172,0,1
KS,1993,20,24115,0.017748288810253143,0.699999988079071,1,0,1,1,20048,35.79610061645508,0,1
KS,1994,20,24678,0.017910689115524292,0.699999988079071,1,0,1,1,20638,35.86905288696289,0,1
KS,1995,20,25153,0.01757245697081089,0.5400000214576721,1,1,1,1,21481,36.015464782714844,0,1
KS,1996,20,25942,0.018888289108872414,0.5400000214576721,1,1,1,1,22707,36.13587951660156,0,1
KS,1997,20,26524,0.01817222125828266,0.5600000023841858,1,1,1,1,23972,36.162933349609375,0,1
